Date,Open,High,Low,Close,Volume USD
2019-12-18 08-AM,6614.26,6649.16,6607.76,6620,669150.43
2019-12-18 07-AM,6621.36,6628,6582.33,6614.26,1811391.96
2019-12-18 06-AM,6657.8,6678.32,6609.02,6621.36,1768049.03
2019-12-18 05-AM,6672.72,6679.09,6650,6657.8,2175574.1
2019-12-18 04-AM,6680.01,6705,6651.67,6672.72,2805059.71
2019-12-18 03-AM,6690.43,6712.48,6680,6680.01,2795866.08
2019-12-18 02-AM,6652.05,6700,6642.78,6690.43,2427114.73
2019-12-18 01-AM,6646.26,6677.54,6638.45,6652.05,3020385.68
2019-12-18 12-AM,6616.62,6646.26,6590,6646.26,2357592.03
2019-12-17 11-PM,6580.08,6626.78,6556,6616.62,5689369.09
2019-12-17 10-PM,6614.86,6685.75,6573.4,6580.08,5843029.4
2019-12-17 09-PM,6582.88,6619.8,6579.14,6614.86,3981131.49
2019-12-17 08-PM,6614.01,6637,6570.51,6582.88,6009070.09
2019-12-17 07-PM,6707,6707,6584.13,6614.01,9312538.47
2019-12-17 06-PM,6709.06,6720.62,6700,6707,3173629.26
2019-12-17 05-PM,6731.2,6735,6686.61,6709.06,3065057.51
2019-12-17 04-PM,6688.49,6732,6626.51,6731.2,8820747.21
2019-12-17 03-PM,6746.1,6750.25,6687.43,6688.49,7459769.67
2019-12-17 02-PM,6760.8,6765.43,6670.37,6746.1,6577183.54
2019-12-17 01-PM,6872.39,6880,6721.54,6760.8,7767039.42
2019-12-17 12-PM,6930.56,6933.21,6868.81,6872.39,1683281.44
2019-12-17 11-AM,6882.01,6930.57,6867.88,6930.56,2090701.21
2019-12-17 10-AM,6870.8,6892,6870.8,6882.01,638034.53
2019-12-17 09-AM,6868.4,6878.58,6863.98,6870.8,423305.85
2019-12-17 08-AM,6861.8,6874.12,6845,6868.4,758753.19
2019-12-17 07-AM,6874.48,6876.24,6860.39,6861.8,813353.48
2019-12-17 06-AM,6879.26,6881.04,6871.05,6874.48,1439165.26
2019-12-17 05-AM,6874.9,6887.92,6871.25,6879.26,1381713.89
2019-12-17 04-AM,6869,6877.27,6855.01,6874.9,1467440.94
2019-12-17 03-AM,6884.8,6884.8,6850,6869,5500325.79
2019-12-17 02-AM,6870.02,6884.82,6869.26,6884.8,1451293.5
2019-12-17 01-AM,6883.67,6886.12,6869.21,6870.02,1696481.12
2019-12-17 12-AM,6877.03,6895,6876,6883.67,1830111.96
2019-12-16 11-PM,6879.89,6891.61,6867.93,6877.03,2873760.48
2019-12-16 10-PM,6868.85,6890,6866,6879.89,2088006.5
2019-12-16 09-PM,6852.49,6890,6848.41,6868.85,5760012.92
2019-12-16 08-PM,6892.37,6904.99,6827.5,6852.49,7723773.01
2019-12-16 07-PM,6910.74,6912.91,6868.01,6892.37,5840071.76
2019-12-16 06-PM,7095.72,7099.71,6809.47,6910.74,25345526.01
2019-12-16 05-PM,7087.87,7100,7080.3,7095.72,1723385.07
2019-12-16 04-PM,7077.01,7090.01,7075.54,7087.87,2446105.87
2019-12-16 03-PM,7106.56,7116.7,7069.75,7077.01,2562708.32
2019-12-16 02-PM,7126.06,7137,7101.28,7106.56,2188475.38
2019-12-16 01-PM,7092.17,7131.99,7086.73,7126.06,2171751.78
2019-12-16 12-PM,7076.1,7103.34,7058.21,7092.17,1112236.63
2019-12-16 11-AM,7048.95,7103.86,7046.11,7076.1,1097150.65
2019-12-16 10-AM,7044.98,7073.98,7044.97,7048.95,423550.15
2019-12-16 09-AM,7055.08,7057.35,7038.2,7044.98,1331653.9
2019-12-16 08-AM,7056.26,7065.61,7046.98,7055.08,1712035.54
2019-12-16 07-AM,7075.2,7080.02,7056.25,7056.26,1314614.03
2019-12-16 06-AM,7054.59,7079.46,7054.58,7075.2,906715.77
2019-12-16 05-AM,7060.89,7068.62,7045.9,7054.59,1075496.04
2019-12-16 04-AM,7060.64,7062.05,7025.45,7060.89,3183530.32
2019-12-16 03-AM,7080.18,7086.95,7057.11,7060.64,1712821.51
2019-12-16 02-AM,7082.82,7091.92,7066.45,7080.18,1248576.18
2019-12-16 01-AM,7070.31,7089.68,7068.01,7082.82,1493931.41
2019-12-16 12-AM,7111,7125.67,7052.66,7070.31,2187099.45
